Date,Open,High,Low,Close,Adj Close,Volume
2024-02-23,61.090000,61.619999,61.000000,61.200001,60.714363,13612900
2024-02-26,61.240002,61.270000,60.660000,60.709999,60.228252,10336100
2024-02-27,60.540001,60.779999,60.119999,60.340000,59.861187,9931100
2024-02-28,60.369999,60.490002,60.060001,60.400002,59.920715,8076500
2024-02-29,60.349998,60.639999,59.900002,60.020000,59.543728,18152700
2024-03-01,59.900002,59.900002,59.340000,59.529999,59.057613,10924800
2024-03-04,59.230000,59.950001,59.220001,59.810001,59.335396,10150200
2024-03-05,59.910000,60.110001,59.419998,59.520000,59.047695,12310000
2024-03-06,59.520000,60.000000,59.380001,59.549999,59.077457,12378800
2024-03-07,59.689999,59.770000,59.240002,59.439999,58.968330,13686900
2024-03-08,59.299999,59.790001,58.970001,59.520000,59.047695,13237500
2024-03-11,59.779999,60.290001,59.580002,60.240002,59.761982,14114300
2024-03-12,60.320000,60.750000,60.209999,60.500000,60.019920,12684600
2024-03-13,60.880001,61.209999,60.799999,61.119999,60.634998,13909500
2024-03-14,60.580002,60.799999,60.400002,60.500000,60.500000,13996600
2024-03-15,60.020000,60.450001,59.639999,59.880001,59.880001,36848900
2024-03-18,59.889999,60.400002,59.799999,60.130001,60.130001,15856700
2024-03-19,60.240002,60.349998,60.060001,60.230000,60.230000,15030600
2024-03-20,60.180000,60.810001,60.160000,60.750000,60.750000,15258800
2024-03-21,60.560001,60.990002,60.320000,60.470001,60.470001,13067100
2024-03-22,60.520000,60.790001,60.430000,60.490002,60.490002,11501400
